Variable,Full Sample,ADHD,Control,Statistic,p,Effect
Age,2.33 (1.05),2.38 (1.03),2.29 (1.08),t = 0.44,0.6575,d = 0.09
ASRS,40.29 (14.12),47.35 (10.85),32.59 (13.31),t = 5.80,0.0000,d = 1.22
WURS,41.16 (21.30),52.78 (19.20),28.51 (15.59),t = 6.75,0.0000,d = 1.38
MADRS,13.43 (7.92),12.95 (7.35),13.93 (8.53),t = -0.57,0.5728,d = -0.12
RT Mean (s),0.39 (0.09),0.39 (0.10),0.39 (0.07),t = -0.15,0.8820,d = -0.03
RT Variability (s),0.11 (0.05),0.13 (0.06),0.10 (0.04),t = 3.11,0.0026,d = 0.62
Accuracy,0.92 (0.13),0.91 (0.05),0.92 (0.17),t = -0.33,0.7422,d = -0.07
Response Rate,0.91 (0.14),0.92 (0.05),0.89 (0.19),t = 1.16,0.2496,d = 0.24
Sex,,,,χ²(1)=0.49,0.4834,φ=0.07
   0,48 (48.5%),22 (44.0%),26 (53.1%),,,
   1,51 (51.5%),28 (56.0%),23 (46.9%),,,
